,audi,mercedes,mazda,bmw,nissan,volvo,ford,hyundai,volkswagen,toyota
audi,,4.265437252695393,2.525616972146053,2.3515071241067873,1.5153701832876316,5.43176775147929,2.3774302620456464,0.9605778836548068,9.040105193951348,1.631569787678385
mercedes,4.265437252695393,,1.4963339817447254,2.164405236367979,2.244500972617088,7.429064417177914,2.9214139643587496,2.788622420524261,11.92910702113156,2.255503428365211
mazda,2.525616972146053,1.4963339817447254,,1.7308567246256403,4.46162998215348,6.192835365853658,4.355400696864112,3.959455178967374,20.32520325203252,6.7252510760401725
bmw,2.3515071241067873,2.164405236367979,1.7308567246256403,,1.4638102585405417,1.7741281427412814,1.5689568609276638,1.3166071560232144,2.9287194737316393,1.31196030723725
nissan,1.5153701832876316,2.244500972617088,4.46162998215348,1.4638102585405417,,4.763719512195122,2.468060394889663,2.8508077288565095,5.420054200542006,8.428981348637016
volvo,5.43176775147929,7.429064417177914,6.192835365853658,1.7741281427412814,4.763719512195122,,4.185267857142857,1.5219155844155845,13.020833333333334,4.3083639705882355
ford,2.3774302620456464,2.9214139643587496,4.355400696864112,1.5689568609276638,2.468060394889663,4.185267857142857,,5.024737167594311,6.613756613756614,3.282563025210084
hyundai,0.9605778836548068,2.788622420524261,3.959455178967374,1.3166071560232144,2.8508077288565095,1.5219155844155845,5.024737167594311,,7.215007215007215,8.116883116883116
volkswagen,9.040105193951348,11.92910702113156,20.32520325203252,2.9287194737316393,5.420054200542006,13.020833333333334,6.613756613756614,7.215007215007215,,8.169934640522875
toyota,1.631569787678385,2.255503428365211,6.7252510760401725,1.31196030723725,8.428981348637016,4.3083639705882355,3.282563025210084,8.116883116883116,8.169934640522875,
