,2
0,"i personally think that with a few tweaks the c320 could also sit at the top of this group. it's still more of a entry-level luxury sedan than mercedes benz benz would lead you to believe. the c320 ""sport"" needs to have it's suspension retuned to accept 17 inch tires without a harsh ride. mb also needs to stop forcing metal trim and black leather on everyone that wants the sport package. the c240's 6-speed wouldn't hurt either if offered on the c320, though it needs to be ""fixed"" first.

that toyotad, my favorite of the group is (gasp!) the new audi 3.0. the audi easily has the best interior of any sub-40k car, combine that with stunning looks and a body that is as rigid as any ever made and you have my personal favorite. the single thing i don't like about the audi is the grey trim around the bottom of the car. this trim doesn't match any of the body colors, as it should be body color anyway. this is an hyundaient car and in my opinion the best there is under 40k. the upcoming audi convertible, coupe and s4 will all be winners.

the bmw 330i is now an old favorite, but i'm (of all people) starting to tire of the bmw just a bit, save the bmw vhondants. i was kind of dissappointed by the 2002 facelift, they could have done a little more in the way of styling. i hope they do a little more for 2003 with the coupe models.

the acura tl-s is easily my favorite fwd car in this class. wonderful engine (you actually can hear it) and decent handling for a front driver. nice price, seat and what not, not hard to see why the tl is so popular. this car's main faults are styling and obvious cost-cutting in the interior, stereo, fake wood etc. otherwise a standout.

lexus es300. nice, but not my type of car at all. this is one for the buick set. the is300 is half baked, but has a wonderful chassis. styling is also in nissanon here, it simply doesn't look like a 35k car (grown). the interior is gawd-awful. bet on the next is300 being done right from the start. in their defense toyota didn't initially intend for this car to be sold in the u.s. so it was a rush job.

the cts holds the greatest unrealized potential here. i've seen several now, and each time i see one they look better and better. again like the c320, is300 the car has interior issues. the dash feels like it was made by rutoyotaermaid. if you're going to be stingy with wood trim, why bother? half of the steering wheel in wood, and very little anywhere else in the car??? the seat are very good though, as is the handling. a work in progress.

the pontiac5 looks like it may have a winning chassis, but the interior, though clean looking seems to be styled about 10 years ago, lots of square shapes and flat surfaces. another great engine, waiting to drive this one.

don't really care much for the x-type. if i were a jaguar man i'd be truly pissed at ford and jaguar for this one. they are actually selling a fwd x-type in england and i've read where they're thinking about selling it here! hell no. the car should have been rwd not awd. some will tell you that this was done to compete with audi. thats bs, awd was the only way to keep the car from being fwd, without spending the money to convert the car to rwd. it is a good looking car though and that jaguar ""leaper"" will be enough for some, but this car has to grow on me.

the chryslerm is about as close to an audi that american car come. this new chrysler ""special"" is truly a good looking car inside and out. one problem: where is the performance???? a 255hp car *in this class) with a 0-60 time over 8 seconds is not accpetable. something is not right here. some say engine, transmission and/or gearing, but whatever it is, chrysler needs to let some mb engineers have a look at this car. the heavier e320 with less power is faster. i still like this car, but it's no lust object once you get past the great styling.

m"
1,i am debating a new purchase and these two are at the top of my ltoyota. the price difference between these two is approx. 6k (non-type s acura). is the es300 worth 6k over the tl? i don't know because i have never owned a tl but i am mazdar with the es300(previous generation). supposedly the 2002 es300 is a lot better than the previous generation but is it that much better than the tl? of great importance to me is initial quality and overall dependability. does the tl compare with the es300 in both of these categorys? i am not mazdar with the honda co. are prices lower than lexus for service work? i would appreciate any input on this dilemma from some tl owners.
2,"great handling, rwd, hyundaient engine and the best warranty around. easy winner."
3,"and no manual tranny. that may not matter to you, but it most certainly does matter to me and many other enthusiast drivers.

so imo, it's not even on the board, let alone the 'easy winner'."
4,"one beauty of bmw 3 series is that there are so many models to choose from. almost half of all buyers in america don't get the basic rwd 4 door sedan. besides having 3 engine and 3 transmission choices, you can get coupe, convertible, awd, station wagon, and super-high performance m-series!!!

hungrywhale... i concur that having the availability of a manual transmission across the line is absolutely critical!!!"
5,"good grief, so you wait 9 months for the manual. even with an auto, i prefer to every car ltoyotaed and i never have owned an auto and never thought i'd enjoy driving a car with an auto. that's what value, performance and an exceptional engine can do for a car. once the g has a stick there is not another sedan under the bmw that i'd consider."
6,"i'll give it a fair shot when the manual comes out, but i'm just flat-out not interested in an auto. i don't care how fast it is. it's not about the speed, it's about the driving experience and having more control over the car."
7,"i understand it's not about the speed. i really don't care if the car won't do over 100 as i rarely break the buick mark. what i do care about is power and with the manual mode on the auto, i can get it when i want it. will i buy an auto-equipped g? in all likelihood, no. i desperately want to drive the 6 speed."
8,it sounds like you know why i won't even put it on my ltoyota (let alone at the top) until the manual comes out.
9,"is there such a thing as an automatic-only true performance sedan? not in my book. certainly not in europe or asia. only in america is such an oxymoron possible. sad.

if or when the manual pontiac5 comes out and the coupe version, then the pontiac5 will be interesting enough to be a serious contender in this segment."
